frame,num_bubbles,mean_diam_px,void_fraction
135,29,110.06896551724138,0.03160252700617284
136,29,110.06896551724138,0.03159866898148148
137,30,107.13333333333334,0.03187644675925926
138,28,113.67857142857143,0.03177951388888889
139,28,113.67857142857143,0.03178626543209877
140,30,107.16666666666667,0.03195650077160494
141,30,107.2,0.03194878472222222
142,29,111.86206896551724,0.0320336612654321
143,29,111.48275862068965,0.03188850308641975
144,29,111.44827586206897,0.031883198302469135
145,30,107.33333333333333,0.03185812114197531
146,30,107.33333333333333,0.031848476080246914
147,27,117.33333333333333,0.03177565586419753
148,30,106.26666666666667,0.03164448302469136
149,30,106.26666666666667,0.03165316358024691
150,27,116.92592592592592,0.03154465663580247
151,27,116.92592592592592,0.03154465663580247
152,28,112.78571428571429,0.03168113425925926
153,29,108.82758620689656,0.03143614969135802
154,29,108.86206896551724,0.03142264660493827
